question_id,type,pipeline,question,expected_answer,answer,top_score,num_sources,latency_sec,judge_label,judge_reason
q005,in_domain,flexible,What is the ideal backrest angle when adjusting the seat?,"Slightly reclined for comfort, but never more than 30 degrees from upright.","The ideal backrest angle is slightly reclined for comfort, but never more than 30° from upright.",0.8745,5,8.374,correct,Matches the expected answer exactly.
q005,in_domain,advanced,What is the ideal backrest angle when adjusting the seat?,"Slightly reclined for comfort, but never more than 30 degrees from upright.","The ideal angle is slightly reclined for comfort, but never more than 30° from upright.  Citations: [1] Adjusting the Seat Positions.html (page unknown) [2] Adjusting the Seat Positions.html (page unknown) [3] Adjusting the Seat Positions.html (page unknown) [4] Adjusting the Steering Wheel.html (page unknown) [5] Adjusting the Steering Wheel.html (page unknown)",0.8745,5,8.141,correct,Matches the expected answer exactly.
q006,in_domain,simple,Where is the seat adjustment lever typically located?,Under the front edge of the seat.,Under the front edge of the seat.,0.8722,5,8.06,correct,Matches the expected answer.
q006,in_domain,flexible,Where is the seat adjustment lever typically located?,Under the front edge of the seat.,"Based on the context provided, the seat adjustment lever is typically located **under the front edge of the seat**.  Additionally, the text notes that the seat height adjustment lever is usually on the **side of the seat**, and the seat backrest adjustment lever is at the **side of the seat**.",0.8722,5,9.209,correct,The answer correctly states the lever location and does not contradict the expected answer.
q006,in_domain,advanced,Where is the seat adjustment lever typically located?,Under the front edge of the seat.,Under the front edge of the seat.  Citations: [1] Adjusting the Seat Positions.html (page unknown) [2] Adjusting the Seat Positions.html (page unknown) [3] Adjusting the Seat Positions.html (page unknown) [4] Adjusting the Steering Wheel.html (page unknown) [5] Adjusting the Steering Wheel.html (page unknown),0.8722,5,6.133,correct,Matches the expected answer exactly.
q007,in_domain,simple,What is the minimum recommended distance between your chest and the steering wheel?,At least 25 cm (10 inches).,At least 25 cm (10 inches).,0.8344,5,9.274,correct,Matches the expected answer exactly.
q007,in_domain,flexible,What is the minimum recommended distance between your chest and the steering wheel?,At least 25 cm (10 inches).,At least 25 cm (10 inches).,0.8344,5,9.033,correct,Matches the expected answer exactly.
q007,in_domain,advanced,What is the minimum recommended distance between your chest and the steering wheel?,At least 25 cm (10 inches).,At least 25 cm (10 inches).  Citations: [1] Adjusting the Steering Wheel.html (page unknown) [2] Adjusting the Seat Positions.html (page unknown) [3] Adjusting the Seat Positions.html (page unknown) [4] Adjusting the Steering Wheel.html (page unknown) [5] Advice for Pregnant Women While in a Car.md (page unknown),0.8344,5,9.104,correct,Matches the expected answer exactly.
q008,in_domain,simple,What types of steering wheel adjustments are available in Aventro Motors vehicles?,Tilt adjustment (moves the wheel up and down) and telescopic adjustment (moves the wheel closer or farther from the driver).,Most Aventro Motors vehicles come with either or both of the following: *   **Tilt Adjustment:** Allows the wheel to move up and down. *   **Telescopic Adjustment:** Allows the wheel to move closer or farther from the driver.,0.8966,5,7.153,correct,The answer lists both tilt and telescopic adjustments as described in the expected answer.
q008,in_domain,flexible,What types of steering wheel adjustments are available in Aventro Motors vehicles?,Tilt adjustment (moves the wheel up and down) and telescopic adjustment (moves the wheel closer or farther from the driver).,"Based on the context provided, most Aventro Motors vehicles come with either or both of the following types of steering wheel adjustments:  *   **Tilt Adjustment:** Allows the wheel to move up and down. *   **Telescopic Adjustment:** Allows the wheel to move closer or farther from the driver.",0.8966,5,8.141,correct,The answer lists both tilt and telescopic adjustments as expected.
q008,in_domain,advanced,What types of steering wheel adjustments are available in Aventro Motors vehicles?,Tilt adjustment (moves the wheel up and down) and telescopic adjustment (moves the wheel closer or farther from the driver).,Most Aventro Motors vehicles come with either or both of the following: *   **Tilt Adjustment**: Allows the wheel to move up and down. *   **Telescopic Adjustment**: Allows the wheel to move closer or farther from the driver.  Citations: [1] Adjusting the Steering Wheel.html (page unknown) [2] Adjusting the Steering Wheel.html (page unknown) [3] Adjusting the Seat Positions.html (page unknown) [4] Adjusting the Seat Positions.html (page unknown) [5] Adjusting the Steering Wheel.html (page unknow,0.8966,5,7.359,correct,The answer lists both tilt and telescopic adjustments as expected.
q009,in_domain,simple,How should a pregnant woman position the lap belt of her seat belt?,"Under the belly, low on the hips, and across the upper thighs. It should never go across the stomach.","Position it under the belly, low on the hips, and across the upper thighs. It should never go across your stomach.",0.9029,5,8.071,correct,Matches the expected answer exactly.
q009,in_domain,flexible,How should a pregnant woman position the lap belt of her seat belt?,"Under the belly, low on the hips, and across the upper thighs. It should never go across the stomach.","The lap belt should be positioned **under the belly**, low on the hips, and across the upper thighs. It should never go across the stomach.",0.9029,5,8.226,correct,Matches the expected answer exactly.
q009,in_domain,advanced,How should a pregnant woman position the lap belt of her seat belt?,"Under the belly, low on the hips, and across the upper thighs. It should never go across the stomach.","Position it under the belly, low on the hips, and across the upper thighs. It should never go across your stomach.  Citations: [1] Advice for Pregnant Women While in a Car.md (page unknown) [2] Advice for Pregnant Women While in a Car.md (page unknown) [3] Advice for Pregnant Women While in a Car.md (page unknown) [4] Advice for Pregnant Women While in a Car.md (page unknown) [5] Adjusting the Seat Positions.html (page unknown)",0.9029,5,8.046,correct,Matches the expected answer exactly.
q010,in_domain,simple,How often should a pregnant woman take breaks on long car journeys?,Every 60 to 90 minutes.,"According to the document, a pregnant woman should take breaks **every 60-90 minutes** on long journeys to stretch her legs and walk a little.",0.8597,5,8.147,correct,Matches the expected answer.
q010,in_domain,flexible,How often should a pregnant woman take breaks on long car journeys?,Every 60 to 90 minutes.,"Based on the context provided, a pregnant woman should take breaks **every 60-90 minutes** during long journeys.",0.8597,5,8.087,correct,Matches the expected answer exactly.
q010,in_domain,advanced,How often should a pregnant woman take breaks on long car journeys?,Every 60 to 90 minutes.,Every 60-90 minutes.  Citations: [1] Advice for Pregnant Women While in a Car.md (page unknown) [2] Advice for Pregnant Women While in a Car.md (page unknown) [3] Advice for Pregnant Women While in a Car.md (page unknown) [4] Advice for Pregnant Women While in a Car.md (page unknown) [5] Adjusting the Seat Positions.html (page unknown),0.8597,5,8.039,correct,Matches the expected answer exactly.
q011,in_domain,simple,What award did Aventro Motors win in 2024 for customer service?,Best Customer Service Experience at the National Auto Customer Choice Awards 2024.,Aventro Motors won the **“Best Customer Service Experience”** award at the *National Auto Customer Choice Awards 2024* for outstanding after-sales and service center network across India.,0.861,5,7.093,correct,Matches the expected answer and adds no contradictory or fabricated information.
q011,in_domain,flexible,What award did Aventro Motors win in 2024 for customer service?,Best Customer Service Experience at the National Auto Customer Choice Awards 2024.,"Based on the context provided, in 2024, Aventro Motors won the **“Best Customer Service Experience”** award at the *National Auto Customer Choice Awards 2024*.",0.861,5,6.094,correct,Matches the expected answer exactly.
q011,in_domain,advanced,What award did Aventro Motors win in 2024 for customer service?,Best Customer Service Experience at the National Auto Customer Choice Awards 2024.,Aventro Motors won the **“Best Customer Service Experience”** award at the *National Auto Customer Choice Awards 2024* for outstanding after-sales and service center network across India.  Citations: [1] Aventro  Awards & Recognitions.md (page unknown) [2] Aventro  Awards & Recognitions.md (page unknown) [3] About Aventro Motors.docx (page unknown) [4] About Aventro Motors.docx (page unknown) [5] Aventro  Awards & Recognitions.md (page unknown),0.861,5,7.039,correct,"Answer matches the expected award and event, with no incorrect or missing key facts."
q012,in_domain,simple,What award did Aventro Motors win in 2023 for sustainability?,Eco-Friendly Automaker of the Year at the Clean Mobility India Awards 2023.,Aventro Motors won the **“Eco-Friendly Automaker of the Year”** award at the *Clean Mobility India Awards 2023* for introducing sustainable manufacturing practices and electric drivetrains.,0.8489,5,7.252,correct,Matches the expected award and year.
q012,in_domain,flexible,What award did Aventro Motors win in 2023 for sustainability?,Eco-Friendly Automaker of the Year at the Clean Mobility India Awards 2023.,"Based on the context provided, Aventro Motors won the **“Eco-Friendly Automaker of the Year”** award in 2023. This award was given by the *Clean Mobility India Awards 2023* for introducing sustainable manufacturing practices and electric drivetrains.",0.8489,5,7.218,correct,Matches the expected answer and adds no contradictory facts.
q012,in_domain,advanced,What award did Aventro Motors win in 2023 for sustainability?,Eco-Friendly Automaker of the Year at the Clean Mobility India Awards 2023.,"Based on the context provided, in 2023, Aventro Motors won the **“Eco-Friendly Automaker of the Year”** award at the *Clean Mobility India Awards 2023* for introducing sustainable manufacturing practices and electric drivetrains.  Citations: [1] Aventro  Awards & Recognitions.md (page unknown) [2] Aventro  Awards & Recognitions.md (page unknown) [3] About Aventro Motors.docx (page unknown) [4] Aventro  Awards & Recognitions.md (page unknown) [5] About Aventro Motors.docx (page unknown)",0.8489,5,7.26,correct,Matches the expected answer and adds no contradictory information.
q013,in_domain,simple,What is the price of the Aventro Glory Electric ZX variant?,21.5 Lakh,The price of the Aventro Glory Electric ZX variant is 21.5 Lakh.,0.795,5,8.102,correct,Matches the expected answer exactly.
q013,in_domain,flexible,What is the price of the Aventro Glory Electric ZX variant?,21.5 Lakh,21.5 Lakh,0.795,5,8.075,correct,Matches the expected answer exactly.
q013,in_domain,advanced,What is the price of the Aventro Glory Electric ZX variant?,21.5 Lakh,21.5 Lakh  Citations: [1] Aventro Glory SUV.pptx (page unknown) [2] Aventro Glory SUV.pptx (page unknown) [3] Aventro Glory SUV.pptx (page unknown) [4] Aventro Grand SUV.pptx (page unknown) [5] Aventro Glory SUV.pptx (page unknown),0.795,5,8.995,correct,Matches the expected answer exactly.
q014,in_domain,simple,What is the seating capacity of the Aventro Glory SUV?,5 seats,The seating capacity of the Aventro Glory SUV is 5.,0.8559,5,8.165,correct,Matches the expected answer.
q014,in_domain,flexible,What is the seating capacity of the Aventro Glory SUV?,5 seats,The seating capacity of the Aventro Glory SUV is 5.,0.8559,5,8.081,correct,Matches the expected answer.
q014,in_domain,advanced,What is the seating capacity of the Aventro Glory SUV?,5 seats,The seating capacity of the Aventro Glory SUV is 5.  Citations: [1] Aventro Glory SUV.pptx (page unknown) [2] Aventro Glory SUV.pptx (page unknown) [3] Aventro Grand SUV.pptx (page unknown) [4] Aventro Edge Sedan.pdf (page 0) [5] Adjusting the Seat Positions.html (page unknown),0.8559,5,8.146,correct,Matches the expected answer.
q015,in_domain,simple,How many seats does the Aventro Grand SUV have?,7-seater,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.8261,5,8.229,abstain,Model states it cannot find the answer.
q015,in_domain,flexible,How many seats does the Aventro Grand SUV have?,7-seater,"The provided context does not contain the answer.  While the context lists the seating capacity for the **Aventro Glory SUV** (5 seats) and the **Aventro Edge Sedan** (5 seats), it only provides a ""Quick Overview"" and ""Variants & Prices"" header for the **Aventro Grand SUV** without specifying its seating capacity.",0.8261,5,8.342,abstain,Model states it cannot find the answer in the context.
q015,in_domain,advanced,How many seats does the Aventro Grand SUV have?,7-seater,I couldn't find relevant information in the Aventro Motors documents to answer this question.  Citations: [1] Aventro Grand SUV.pptx (page unknown) [2] Aventro Glory SUV.pptx (page unknown) [3] Aventro Edge Sedan.pdf (page 0) [4] Adjusting the Seat Positions.html (page unknown) [5] Aventro Glory SUV.pptx (page unknown),0.8261,5,7.059,abstain,The model explicitly states it cannot find the answer.
q016,in_domain,simple,What is the boot space of the Aventro Grand SUV?,Up to 700 litres,The boot space of the Aventro Grand SUV is up to 700 Litres.,0.8215,5,9.085,correct,Matches the expected answer exactly.
q016,in_domain,flexible,What is the boot space of the Aventro Grand SUV?,Up to 700 litres,The boot space of the Aventro Grand SUV is up to 700 litres.,0.8215,5,10.064,correct,Matches the expected answer exactly.
q016,in_domain,advanced,What is the boot space of the Aventro Grand SUV?,Up to 700 litres,The boot space of the Aventro Grand SUV is up to 700 Litres.  Citations: [1] Aventro Grand SUV.pptx (page unknown) [2] Aventro Glory SUV.pptx (page unknown) [3] Aventro Edge Sedan.pdf (page 0) [4] Aventro Glory SUV.pptx (page unknown) [5] Aventro Grand SUV.pptx (page unknown),0.8215,5,9.11,correct,Matches the expected answer exactly.
q017,in_domain,simple,What is the boot space of the Aventro Bolt Sedan?,470 litres (approx.),470 litres (approx.),0.8219,5,10.087,correct,Matches the expected answer exactly.
q017,in_domain,flexible,What is the boot space of the Aventro Bolt Sedan?,470 litres (approx.),The boot space of the Aventro Bolt Sedan is 470 litres (approx.).,0.8219,5,9.08,correct,Matches the expected answer exactly.
q017,in_domain,advanced,What is the boot space of the Aventro Bolt Sedan?,470 litres (approx.),470 litres (approx.)  Citations: [1] Aventro Bolt Sedan.pdf (page 2) [2] Aventro Bolt Sedan.pdf (page 0) [3] Aventro Edge Sedan.pdf (page 0) [4] Adjusting the Seat Positions.html (page unknown) [5] Aventro Grand SUV.pptx (page unknown),0.8219,5,9.2,correct,Matches the expected answer exactly.
q018,in_domain,simple,What are the available fuel types for the Aventro Bolt Sedan?,"Petrol, Diesel, Electric, and Hybrid.","The available fuel types for the Aventro Bolt Sedan are Petrol, Diesel, Electric, and Hybrid.",0.8322,5,9.146,correct,Matches the expected answer.
q018,in_domain,flexible,What are the available fuel types for the Aventro Bolt Sedan?,"Petrol, Diesel, Electric, and Hybrid.","The available fuel types for the Aventro Bolt Sedan are Petrol, Diesel, Electric, and Hybrid.",0.8322,5,8.06,correct,Matches the expected answer.
q018,in_domain,advanced,What are the available fuel types for the Aventro Bolt Sedan?,"Petrol, Diesel, Electric, and Hybrid.","Based on the context provided, the available fuel types for the Aventro Bolt Sedan are **Petrol, Diesel, Electric, and Hybrid**.  Citations: [1] Aventro Bolt Sedan.pdf (page 0) [2] Aventro Bolt Sedan.pdf (page 2) [3] Aventro Edge Sedan.pdf (page 0) [4] Aventro Edge Sedan.pdf (page 3) [5] Aventro Grand SUV.pptx (page unknown)",0.8322,5,9.143,correct,Matches the expected answer.
q019,in_domain,simple,What is the seating capacity of the Aventro Edge Sedan?,5 seats,The seating capacity of the Aventro Edge Sedan is 5.,0.8545,5,9.089,correct,Matches the expected answer.
q019,in_domain,flexible,What is the seating capacity of the Aventro Edge Sedan?,5 seats,The seating capacity of the Aventro Edge Sedan is 5.,0.8545,5,9.063,correct,Matches the expected answer.
q019,in_domain,advanced,What is the seating capacity of the Aventro Edge Sedan?,5 seats,The seating capacity of the Aventro Edge Sedan is 5.  Citations: [1] Aventro Edge Sedan.pdf (page 0) [2] Adjusting the Seat Positions.html (page unknown) [3] Aventro Bolt Sedan.pdf (page 0) [4] Aventro Bolt Sedan.pdf (page 2) [5] Adjusting the Seat Positions.html (page unknown),0.8545,5,9.059,correct,Matches the expected answer.
q020,in_domain,simple,What are the available fuel options for the Aventro Edge Sedan?,"Petrol, Diesel, Electric, and Hybrid.","The available fuel options for the Aventro Edge Sedan are Petrol, Diesel, Electric, and Hybrid.",0.8343,5,10.048,correct,Matches expected answer.
q020,in_domain,flexible,What are the available fuel options for the Aventro Edge Sedan?,"Petrol, Diesel, Electric, and Hybrid.","Based on the context provided, the available fuel options for the Aventro Edge Sedan are **Petrol, Diesel, Electric, and Hybrid**.",0.8343,5,9.172,correct,Matches the expected answer.
q020,in_domain,advanced,What are the available fuel options for the Aventro Edge Sedan?,"Petrol, Diesel, Electric, and Hybrid.","Based on the context provided, the available fuel options for the Aventro Edge Sedan are **Petrol, Diesel, Electric, and Hybrid**.  Citations: [1] Aventro Edge Sedan.pdf (page 0) [2] Aventro Bolt Sedan.pdf (page 0) [3] Aventro Edge Sedan.pdf (page 3) [4] Aventro Bolt Sedan.pdf (page 2) [5] Aventro Grand SUV.pptx (page unknown)",0.8343,5,9.093,correct,Matches the expected answer.
o001,out_of_domain,simple,What is the capital of France?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.0,0,0.531,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o001,out_of_domain,flexible,What is the capital of France?,,No relevant information was found in the Aventro Motors documents.  The capital of France is Paris.,0.0,0,0.671,abstain,The model first acknowledges no relevant info in the knowledge base before giving a general answer.
o001,out_of_domain,advanced,What is the capital of France?,,No relevant context found.,0.0,0,0.444,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o002,out_of_domain,simple,Who won the 2024 FIFA World Cup?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.0,0,0.46,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o002,out_of_domain,flexible,Who won the 2024 FIFA World Cup?,,"No relevant information was found in the Aventro Motors documents.  The 2024 FIFA World Cup has not taken place yet. The next FIFA World Cup is scheduled to be held in 2026, co-hosted by the United States, Canada, and Mexico. The most recent FIFA World Cup was held in 2022 in Qatar, where Argentina won the title.",0.0,0,0.823,abstain,"The model first states no relevant info was found in the documents and then supplies general knowledge, disclosing it is not from the knowledge base."
o002,out_of_domain,advanced,Who won the 2024 FIFA World Cup?,,No relevant context found.,0.0,0,0.44,abstain,Model explicitly states it cannot find the answer.
o003,out_of_domain,simple,How do I make pasta carbonara?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.0,0,1.151,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o003,out_of_domain,flexible,How do I make pasta carbonara?,,"No relevant information was found in the Aventro Motors documents.  Here is a classic recipe for Pasta Carbonara based on general culinary knowledge:  **Ingredients:** *   1 pound (450g) spaghetti or rigatoni *   4 large egg yolks (plus 1 whole egg, optional for richness) *   1 cup (100g) finely grated Pecorino Romano cheese (Parmigiano-Reggiano can be used, but Pecorino is traditional) *   6–8 slices of guanciale (cured pork cheek), cut into small strips (pancetta or thick-cut bacon can be subs",0.0,0,2.642,abstain,"The model first states it cannot find the answer in the knowledge base, then provides general information."
o003,out_of_domain,advanced,How do I make pasta carbonara?,,No relevant context found.,0.0,0,0.49,abstain,Model indicates no relevant context found.
o004,out_of_domain,simple,What is the price of a Tesla Model 3 in 2024?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.741,5,0.744,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o004,out_of_domain,flexible,What is the price of a Tesla Model 3 in 2024?,,"The provided context does not contain information about the price of a Tesla Model 3. The context only lists prices and features for ""Edge Sedan"" and ""Glory"" variants (Petrol, Diesel, Electric, and Hybrid).",0.741,5,6.059,abstain,The model explicitly states it cannot find the answer in the knowledge base.
o004,out_of_domain,advanced,What is the price of a Tesla Model 3 in 2024?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.  Citations: [1] Aventro Edge Sedan.pdf (page 2) [2] Aventro Bolt Sedan.pdf (page 0) [3] Aventro Glory SUV.pptx (page unknown) [4] Adaptive Cruise Control (ACC).docx (page unknown) [5] Aventro Edge Sedan.pdf (page 1),0.741,5,11.135,abstain,The model explicitly states it cannot find the answer in the knowledge base.
o005,out_of_domain,simple,Who wrote the novel 'Pride and Prejudice'?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.0,0,0.545,abstain,Model states it cannot find the answer in the knowledge base.
o005,out_of_domain,flexible,Who wrote the novel 'Pride and Prejudice'?,,No relevant information was found in the Aventro Motors documents.  The novel *Pride and Prejudice* was written by **Jane Austen**. It was first published in 1813.,0.0,0,1.078,abstain,The model first states it cannot find the answer in the knowledge base before providing the answer.
o005,out_of_domain,advanced,Who wrote the novel 'Pride and Prejudice'?,,No relevant context found.,0.0,0,0.463,abstain,Model explicitly states it cannot find the answer.
o006,out_of_domain,simple,What is the tallest mountain in the world?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.0,0,0.454,abstain,The model explicitly states it cannot find the answer in the knowledge base.
o006,out_of_domain,flexible,What is the tallest mountain in the world?,,"No relevant information was found in the Aventro Motors documents.  Based on general knowledge, the tallest mountain in the world is **Mount Everest**. It is located in the Himalayas on the border between Nepal and the Tibet Autonomous Region of China, with a peak elevation of 8,848.86 meters (29,031.7 feet) above sea level.",0.0,0,0.794,abstain,"The model first states it cannot find the answer in the knowledge base, then provides general knowledge."
o006,out_of_domain,advanced,What is the tallest mountain in the world?,,No relevant context found.,0.0,0,0.475,abstain,Model explicitly states it cannot find an answer.
o007,out_of_domain,simple,How does photosynthesis work in plants?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.713,3,0.743,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o007,out_of_domain,flexible,How does photosynthesis work in plants?,,"The provided context does not contain the answer to the question. The text exclusively discusses Adaptive Cruise Control (ACC), including its definition, functions, working principles, and components, but it does not mention photosynthesis or plants.",0.713,3,0.822,abstain,Model states it cannot find the answer in the knowledge base.
o007,out_of_domain,advanced,How does photosynthesis work in plants?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.  Citations: [1] Adaptive Cruise Control (ACC).docx (page unknown) [2] Adaptive Cruise Control (ACC).docx (page unknown) [3] Adaptive Cruise Control (ACC).docx (page unknown),0.713,3,3.826,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o008,out_of_domain,simple,What is the capital of Japan?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.0,0,0.456,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o008,out_of_domain,flexible,What is the capital of Japan?,,No relevant information was found in the Aventro Motors documents.  The capital of Japan is Tokyo.,0.0,0,0.713,abstain,"The model first states it cannot find the answer in the knowledge base, then provides general knowledge."
o008,out_of_domain,advanced,What is the capital of Japan?,,No relevant context found.,0.0,0,0.528,abstain,The model explicitly states it cannot find the answer.
o009,out_of_domain,simple,When was the first iPhone released?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.0,0,0.569,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o009,out_of_domain,flexible,When was the first iPhone released?,,"No relevant information was found in the Aventro Motors documents.  Using general knowledge, the first iPhone was released on **June 29, 2007**. It was announced by Steve Jobs at the Macworld Conference & Expo on January 9, 2007.",0.0,0,0.848,abstain,Model acknowledges no relevant KB info and then supplies general knowledge.
o009,out_of_domain,advanced,When was the first iPhone released?,,No relevant context found.,0.0,0,0.57,abstain,Model explicitly states it cannot find the answer.
o010,out_of_domain,simple,What is the chemical formula for water?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.0,0,0.434,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o010,out_of_domain,flexible,What is the chemical formula for water?,,No relevant information was found in the Aventro Motors documents.  The chemical formula for water is **H₂O**. This indicates that each molecule of water consists of two hydrogen atoms and one oxygen atom.,0.0,0,0.814,abstain,"The model first states it cannot find the answer in the knowledge base, then provides general information."
o010,out_of_domain,advanced,What is the chemical formula for water?,,No relevant context found.,0.0,0,0.445,abstain,Model explicitly states it cannot find the answer.
o011,out_of_domain,simple,Who is the current CEO of Apple?,,I couldn't find relevant information in the Aventro Motors documents to answer this question.,0.0,0,0.484,abstain,Model explicitly states it cannot find the answer in the knowledge base.
o011,out_of_domain,flexible,Who is the current CEO of Apple?,,"No relevant information was found in the Aventro Motors documents.  Based on general knowledge, the current CEO of Apple is **Tim Cook**. He has held this position since August 2011, succeeding Steve Jobs.",0.0,0,0.911,abstain,Model acknowledges no relevant KB info and then gives general knowledge.
